roundId,price,startedAt,updatedAt,roundId
9.22E+19,2.65E+11,1645641086,1645641086,9.22E+19
9.22E+19,2.66E+11,1645642518,1645642518,9.22E+19
9.22E+19,2.64E+11,1645645549,1645645549,9.22E+19
9.22E+19,2.63E+11,1645646117,1645646117,9.22E+19
9.22E+19,2.62E+11,1645647118,1645647118,9.22E+19
9.22E+19,2.63E+11,1645648262,1645648262,9.22E+19
9.22E+19,2.63E+11,1645649758,1645649758,9.22E+19
9.22E+19,2.62E+11,1645653333,1645653333,9.22E+19
9.22E+19,2.61E+11,1645654771,1645654771,9.22E+19
9.22E+19,2.62E+11,1645655244,1645655244,9.22E+19
9.22E+19,2.63E+11,1645656941,1645656941,9.22E+19
9.22E+19,2.62E+11,1645658076,1645658076,9.22E+19
9.22E+19,2.61E+11,1645658281,1645658281,9.22E+19
9.22E+19,2.59E+11,1645658431,1645658431,9.22E+19
9.22E+19,2.60E+11,1645660510,1645660510,9.22E+19
9.22E+19,2.58E+11,1645660960,1645660960,9.22E+19
9.22E+19,2.57E+11,1645663635,1645663635,9.22E+19
9.22E+19,2.57E+11,1645664118,1645664118,9.22E+19
9.22E+19,2.57E+11,1645667718,1645667718,9.22E+19
9.22E+19,2.57E+11,1645667836,1645667836,9.22E+19
9.22E+19,2.56E+11,1645671317,1645671317,9.22E+19
9.22E+19,2.53E+11,1645671599,1645671599,9.22E+19
9.22E+19,2.51E+11,1645671807,1645671807,9.22E+19
9.22E+19,2.49E+11,1645671925,1645671925,9.22E+19
9.22E+19,2.48E+11,1645672104,1645672104,9.22E+19
9.22E+19,2.47E+11,1645672255,1645672255,9.22E+19
9.22E+19,2.46E+11,1645673406,1645673406,9.22E+19
9.22E+19,2.44E+11,1645673748,1645673748,9.22E+19
9.22E+19,2.43E+11,1645674166,1645674166,9.22E+19
9.22E+19,2.41E+11,1645674310,1645674310,9.22E+19
9.22E+19,2.43E+11,1645674648,1645674648,9.22E+19
9.22E+19,2.42E+11,1645674985,1645674985,9.22E+19
9.22E+19,2.40E+11,1645675340,1645675340,9.22E+19
9.22E+19,2.39E+11,1645676000,1645676000,9.22E+19
9.22E+19,2.38E+11,1645676173,1645676173,9.22E+19
9.22E+19,2.39E+11,1645677319,1645677319,9.22E+19
9.22E+19,2.40E+11,1645677602,1645677602,9.22E+19
9.22E+19,2.40E+11,1645678521,1645678521,9.22E+19
9.22E+19,2.38E+11,1645679637,1645679637,9.22E+19
9.22E+19,2.36E+11,1645680725,1645680725,9.22E+19
9.22E+19,2.35E+11,1645680893,1645680893,9.22E+19
9.22E+19,2.34E+11,1645681113,1645681113,9.22E+19
9.22E+19,2.32E+11,1645681387,1645681387,9.22E+19
9.22E+19,2.32E+11,1645682113,1645682113,9.22E+19
9.22E+19,2.34E+11,1645682394,1645682394,9.22E+19
9.22E+19,2.35E+11,1645683264,1645683264,9.22E+19
9.22E+19,2.35E+11,1645685720,1645685720,9.22E+19
9.22E+19,2.33E+11,1645686593,1645686593,9.22E+19
9.22E+19,2.32E+11,1645688089,1645688089,9.22E+19
9.22E+19,2.34E+11,1645688666,1645688666,9.22E+19
9.22E+19,2.35E+11,1645688841,1645688841,9.22E+19
9.22E+19,2.36E+11,1645688938,1645688938,9.22E+19
9.22E+19,2.38E+11,1645688943,1645688943,9.22E+19
9.22E+19,2.37E+11,1645689331,1645689331,9.22E+19
9.22E+19,2.37E+11,1645689609,1645689609,9.22E+19
9.22E+19,2.39E+11,1645690099,1645690099,9.22E+19
9.22E+19,2.40E+11,1645690412,1645690412,9.22E+19
9.22E+19,2.39E+11,1645691170,1645691170,9.22E+19
9.22E+19,2.37E+11,1645692138,1645692138,9.22E+19
9.22E+19,2.39E+11,1645692839,1645692839,9.22E+19
9.22E+19,2.38E+11,1645692921,1645692921,9.22E+19
9.22E+19,2.40E+11,1645694727,1645694727,9.22E+19
9.22E+19,2.40E+11,1645694761,1645694761,9.22E+19
9.22E+19,2.38E+11,1645696122,1645696122,9.22E+19
9.22E+19,2.38E+11,1645696625,1645696625,9.22E+19
9.22E+19,2.36E+11,1645697801,1645697801,9.22E+19
9.22E+19,2.35E+11,1645698421,1645698421,9.22E+19
9.22E+19,2.36E+11,1645699381,1645699381,9.22E+19
9.22E+19,2.36E+11,1645700126,1645700126,9.22E+19
9.22E+19,2.35E+11,1645702356,1645702356,9.22E+19
9.22E+19,2.36E+11,1645703168,1645703168,9.22E+19
9.22E+19,2.38E+11,1645703283,1645703283,9.22E+19
