market,markTwap,indexTwap,evt_block_time
SOLUSD,100.3907,100.7555,2022-03-01T13:54:45+00:00
ETHUSD,3002.1971,3001.2978,2022-03-01T13:54:30+00:00
SOLUSD,100.3807,100.7668,2022-03-01T13:54:30+00:00
SOLUSD,100.3506,100.8020,2022-03-01T13:53:43+00:00
ETHUSD,2999.7964,2999.0508,2022-03-01T13:53:27+00:00
ETHUSD,2999.4964,2998.6441,2022-03-01T13:53:10+00:00
SOLUSD,100.3506,100.8483,2022-03-01T13:52:25+00:00
ETHUSD,2997.9971,2997.6134,2022-03-01T13:52:25+00:00
SOLUSD,100.3606,100.8452,2022-03-01T13:52:09+00:00
ETHUSD,2997.0979,2997.1269,2022-03-01T13:51:52+00:00
SOLUSD,100.3807,100.8388,2022-03-01T13:51:36+00:00
ETHUSD,2996.4986,2996.5282,2022-03-01T13:51:18+00:00
ETHUSD,2996.1990,2996.1622,2022-03-01T13:51:02+00:00
SOLUSD,100.4007,100.8322,2022-03-01T13:51:02+00:00
ETHUSD,2995.8994,2995.9433,2022-03-01T13:50:47+00:00
SOLUSD,100.4309,100.8262,2022-03-01T13:50:31+00:00
SOLUSD,100.4710,100.8203,2022-03-01T13:50:00+00:00
ETHUSD,2995.0008,2995.0383,2022-03-01T13:49:45+00:00
ETHUSD,2994.7013,2994.5858,2022-03-01T13:49:14+00:00
ETHUSD,2993.2044,2992.7784,2022-03-01T13:47:41+00:00
ETHUSD,2992.9051,2992.3524,2022-03-01T13:47:23+00:00
SOLUSD,100.6822,100.7862,2022-03-01T13:47:04+00:00
ETHUSD,2992.0074,2991.2876,2022-03-01T13:46:48+00:00
SOLUSD,100.7024,100.7798,2022-03-01T13:46:31+00:00
ETHUSD,2989.6149,2989.0690,2022-03-01T13:45:27+00:00
SOLUSD,100.7930,100.5817,2022-03-01T13:44:15+00:00
ETHUSD,2986.6269,2985.9998,2022-03-01T13:43:30+00:00
ETHUSD,2984.5371,2983.9913,2022-03-01T13:42:26+00:00
SOLUSD,100.8132,100.2746,2022-03-01T13:42:09+00:00
SOLUSD,100.8132,100.2259,2022-03-01T13:41:49+00:00
SOLUSD,100.7527,100.0650,2022-03-01T13:40:43+00:00
SOLUSD,100.7326,100.0235,2022-03-01T13:40:26+00:00
SOLUSD,100.6722,99.8724,2022-03-01T13:39:24+00:00
ETHUSD,2978.2765,2978.0337,2022-03-01T13:38:53+00:00
SOLUSD,100.6219,99.7969,2022-03-01T13:38:53+00:00
SOLUSD,100.5514,99.6798,2022-03-01T13:38:22+00:00
SOLUSD,100.5012,99.6469,2022-03-01T13:38:00+00:00
ETHUSD,2975.8949,2975.9079,2022-03-01T13:37:45+00:00
ETHUSD,2975.0023,2974.9238,2022-03-01T13:37:15+00:00
SOLUSD,100.3807,99.5797,2022-03-01T13:37:15+00:00
ETHUSD,2974.7049,2974.3628,2022-03-01T13:37:00+00:00
SOLUSD,100.3004,99.5349,2022-03-01T13:36:45+00:00
SOLUSD,100.2503,99.5125,2022-03-01T13:36:30+00:00
SOLUSD,100.2102,99.4901,2022-03-01T13:36:15+00:00
ETHUSD,2972.9207,2972.8020,2022-03-01T13:36:15+00:00
ETHUSD,2972.3262,2972.3045,2022-03-01T13:35:58+00:00
SOLUSD,99.9600,99.3392,2022-03-01T13:34:34+00:00
SOLUSD,99.9200,99.3168,2022-03-01T13:34:19+00:00
ETHUSD,2969.3555,2969.4072,2022-03-01T13:34:19+00:00
SOLUSD,99.8301,99.2645,2022-03-01T13:33:44+00:00
ETHUSD,2968.1680,2968.5001,2022-03-01T13:33:44+00:00
ETHUSD,2967.8713,2968.2565,2022-03-01T13:33:29+00:00
SOLUSD,99.7702,99.2167,2022-03-01T13:33:12+00:00
ETHUSD,2967.2778,2968.2631,2022-03-01T13:32:56+00:00
SOLUSD,99.7104,99.1704,2022-03-01T13:32:41+00:00
ETHUSD,2967.2778,2968.2661,2022-03-01T13:32:41+00:00
SOLUSD,99.6905,99.1420,2022-03-01T13:32:22+00:00
ETHUSD,2967.2778,2968.2699,2022-03-01T13:32:22+00:00
SOLUSD,99.6705,99.1196,2022-03-01T13:32:07+00:00
ETHUSD,2967.2778,2968.4989,2022-03-01T13:31:50+00:00
SOLUSD,99.6307,99.0234,2022-03-01T13:31:12+00:00
ETHUSD,2967.5745,2969.0143,2022-03-01T13:30:38+00:00
SOLUSD,99.6008,99.0025,2022-03-01T13:30:38+00:00
SOLUSD,99.5809,98.9662,2022-03-01T13:30:21+00:00
SOLUSD,99.5211,98.9662,2022-03-01T13:29:35+00:00
ETHUSD,2968.4649,2969.5870,2022-03-01T13:29:18+00:00
ETHUSD,2968.7617,2969.9900,2022-03-01T13:28:48+00:00
SOLUSD,99.4714,98.9662,2022-03-01T13:28:48+00:00
ETHUSD,2968.7617,2970.2858,2022-03-01T13:28:33+00:00
SOLUSD,99.4217,98.9662,2022-03-01T13:28:18+00:00
SOLUSD,99.3918,98.9662,2022-03-01T13:28:03+00:00
SOLUSD,99.3422,98.9662,2022-03-01T13:27:32+00:00
SOLUSD,99.3223,98.9662,2022-03-01T13:27:17+00:00
SOLUSD,99.2826,98.9662,2022-03-01T13:26:59+00:00
SOLUSD,99.2528,98.9662,2022-03-01T13:26:43+00:00
SOLUSD,99.2429,98.9662,2022-03-01T13:26:28+00:00
SOLUSD,99.2131,98.9662,2022-03-01T13:25:57+00:00
ETHUSD,2972.9207,2973.9724,2022-03-01T13:25:26+00:00
SOLUSD,99.1833,98.9662,2022-03-01T13:25:26+00:00
SOLUSD,99.1734,98.9662,2022-03-01T13:25:11+00:00
SOLUSD,99.1635,98.9662,2022-03-01T13:24:56+00:00
SOLUSD,99.1437,98.9662,2022-03-01T13:24:40+00:00
